kpiId;KpiName;value;DataType;period;StartDate;EndDate;CollectionFrequency
DOMV9a;Domestic Violence Incidents Level - Medium Risk;50.00 Number;Number;2013/2014_Jan;01/01/2014;31/01/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;140.00 Number;Number;2013/2014_Q4;01/01/2014;31/03/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;47.00 Number;Number;2013/2014_Feb;01/02/2014;28/02/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;43.00 Number;Number;2013/2014_Mar;01/03/2014;31/03/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;715.00 Number;Number;2014/2015;01/04/2014;31/03/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;51.00 Number;Number;2014/2015_Apr;01/04/2014;30/04/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;149.00 Number;Number;2014/2015_Q1;01/04/2014;30/06/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;52.00 Number;Number;2014/2015_May;01/05/2014;31/05/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;46.00 Number;Number;2014/2015_Jun;01/06/2014;30/06/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;200.00 Number;Number;2014/2015_Q2;01/07/2014;30/09/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;59.00 Number;Number;2014/2015_Jul;01/07/2014;31/07/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;59.00 Number;Number;2014/2015_Aug;01/08/2014;31/08/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;82.00 Number;Number;2014/2015_Sep;01/09/2014;30/09/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;56.00 Number;Number;2014/2015_Oct;01/10/2014;31/10/2014;Monthly
